Relacion; Herrera (freq. relat.); P2 (freq. relat.);Pacheco (freq. relat.);Media;SD;Herrera (z-score);P2 (z-score);Pacheco;P2vsHerrera;P2vsPacheco
VM PP PP;0,21;0,04;0;0,083333333;0,111504858;1,135974424;-0,388622829;-0,747351594;1,524597253;0,358728765
PP NP AQ;0,18;0,07;0;0,083333333;0,090737717;1,06534162;-0,146943672;-0,918397948;1,212285291;0,771454276
VM CC DI;0,11;0,17;0;0,093333333;0,086216781;0,193311168;0,889231374;-1,082542542;0,695920206;1,971773916
CS CS RG;0,13;0,11;0,21;0,15;0,052915026;-0,377964473;-0,755928946;1,133893419;0,377964473;1,889822365
RG AQ AQ;0,13;0,07;0,21;0,136666667;0,070237692;-0,0949158;-0,949157996;1,044073795;0,854242196;1,993231791
AQ VS DP;0,13;0,11;0;0,08;0,07;0,714285714;0,428571429;-1,142857143;0,285714286;1,571428571
NC PP VS;0,11;0,14;0;0,083333333;0,073711148;0,361772505;0,768766574;-1,130539079;0,406994068;1,899305653
PR RG NC;0,16;0,04;0,21;0,136666667;0,087368949;0,267066658;-1,106419011;0,839352353;1,373485669;1,945771364
P0 VM PR;0,08;0,14;0,21;0,143333333;0,065064071;-0,973399487;-0,051231552;1,024631039;0,922167935;1,075862591
VS DD NC;0,13;0,11;0;0,08;0,07;0,714285714;0,428571429;-1,142857143;0,285714286;1,571428571
AQ PR RN;0,13;0,11;0;0,08;0,07;0,714285714;0,428571429;-1,142857143;0,285714286;1,571428571
SP DA SP;0,11;0,07;0,41;0,196666667;0,185831465;-0,466372402;-0,681621203;1,147993605;0,215248801;1,829614809
CS VM NP;0,11;0,14;0;0,083333333;0,073711148;0,361772505;0,768766574;-1,130539079;0,406994068;1,899305653
CC AQ VS;0,16;0,07;0;0,076666667;0,080208063;1,038964544;-0,083117163;-0,95584738;1,122081707;0,872730217
SP DI DP;0,18;0,04;0;0,073333333;0,094516313;1,128552985;-0,352672808;-0,775880177;1,481225793;0,42320737
NC PP NC;0,13;0,11;0;0,08;0,07;0,714285714;0,428571429;-1,142857143;0,285714286;1,571428571
SP DT NC;0,13;0,11;0;0,08;0,07;0,714285714;0,428571429;-1,142857143;0,285714286;1,571428571
PP SP PP;0,11;0,14;0;0,083333333;0,073711148;0,361772505;0,768766574;-1,130539079;0,406994068;1,899305653
NP AQ DP;0,06;0,11;0,62;0,263333333;0,309892454;-0,656141608;-0,494795311;1,150936919;0,161346297;1,64573223
NC DP NP;0,06;0,21;0;0,09;0,108166538;-0,277350098;1,109400392;-0,832050294;1,386750491;1,941450687
Z AQ NC;0,16;0,07;0;0,076666667;0,080208063;1,038964544;-0,083117163;-0,95584738;1,122081707;0,872730217
NP AQ NP;0,11;0,11;0,21;0,143333333;0,057735027;-0,577350269;-0,577350269;1,154700538;0;1,732050808
PR RG P0;0,16;0,07;0;0,076666667;0,080208063;1,038964544;-0,083117163;-0,95584738;1,122081707;0,872730217
CS RG DP;0,11;0,14;0;0,083333333;0,073711148;0,361772505;0,768766574;-1,130539079;0,406994068;1,899305653
RG DD NC;0,03;0,24;0;0,09;0,130766968;-0,458831468;1,147078669;-0,688247202;1,605910137;1,835325871
VM DD DP;0,18;0,04;0;0,073333333;0,094516313;1,128552985;-0,352672808;-0,775880177;1,481225793;0,42320737
VM NP AP;0,16;0,07;0;0,076666667;0,080208063;1,038964544;-0,083117163;-0,95584738;1,122081707;0,872730217
CC PP AQ;0,16;0,04;0,21;0,136666667;0,087368949;0,267066658;-1,106419011;0,839352353;1,373485669;1,945771364
I NC SP;0,11;0,04;0,62;0,256666667;0,316596483;-0,463260568;-0,684362202;1,14762277;0,221101635;1,831984972
RN VA VM;0,13;0,11;0;0,08;0,07;0,714285714;0,428571429;-1,142857143;0,285714286;1,571428571
DI NC DI;0,13;0,04;0,41;0,193333333;0,192959409;-0,328221017;-0,794640357;1,122861375;0,46641934;1,917501732
DI NC DA;0,11;0,11;0,21;0,143333333;0,057735027;-0,577350269;-0,577350269;1,154700538;0;1,732050808
VM NP PR;0,08;0,17;0;0,083333333;0,085049005;-0,03919309;1,019020342;-0,979827252;1,058213432;1,998847594
SP PP VS;0,11;0,14;0;0,083333333;0,073711148;0,361772505;0,768766574;-1,130539079;0,406994068;1,899305653
NC I AQ;0,08;0,14;0,21;0,143333333;0,065064071;-0,973399487;-0,051231552;1,024631039;0,922167935;1,075862591
DI NC NC;0,08;0,14;0,21;0,143333333;0,065064071;-0,973399487;-0,051231552;1,024631039;0,922167935;1,075862591
NP PR NC;0,08;0,17;0;0,083333333;0,085049005;-0,03919309;1,019020342;-0,979827252;1,058213432;1,998847594
AQ CS CS;0,08;0,14;0,21;0,143333333;0,065064071;-0,973399487;-0,051231552;1,024631039;0,922167935;1,075862591
DA PR VS;0,08;0,14;0,21;0,143333333;0,065064071;-0,973399487;-0,051231552;1,024631039;0,922167935;1,075862591
PR PP VA;0,16;0,07;0;0,076666667;0,080208063;1,038964544;-0,083117163;-0,95584738;1,122081707;0,872730217
NC AP AQ;0,13;0,11;0;0,08;0,07;0,714285714;0,428571429;-1,142857143;0,285714286;1,571428571
VM PR P0;0,13;0,11;0;0,08;0,07;0,714285714;0,428571429;-1,142857143;0,285714286;1,571428571
PR SP RG;0,13;0,11;0;0,08;0,07;0,714285714;0,428571429;-1,142857143;0,285714286;1,571428571
CC RN SP;0,11;0,11;0,21;0,143333333;0,057735027;-0,577350269;-0,577350269;1,154700538;0;1,732050808
NC NP CS;0,08;0,11;0,41;0,2;0,182482876;-0,657595949;-0,493196962;1,150792911;0,164398987;1,643989873
PR RN PP;0,21;0;0;0,07;0,121243557;1,154700538;-0,577350269;-0,577350269;1,732050808;0
CS PP PP;0,16;0,07;0;0,076666667;0,080208063;1,038964544;-0,083117163;-0,95584738;1,122081707;0,872730217
VM CS DI;0,16;0,07;0;0,076666667;0,080208063;1,038964544;-0,083117163;-0,95584738;1,122081707;0,872730217
RG DP AQ;0,11;0,14;0;0,083333333;0,073711148;0,361772505;0,768766574;-1,130539079;0,406994068;1,899305653
NC NP PR;0,13;0,11;0;0,08;0,07;0,714285714;0,428571429;-1,142857143;0,285714286;1,571428571
RG CC NC;0,08;0,17;0;0,083333333;0,085049005;-0,03919309;1,019020342;-0,979827252;1,058213432;1,998847594
VM NC VS;0,13;0,11;0;0,08;0,07;0,714285714;0,428571429;-1,142857143;0,285714286;1,571428571
VM CS PR;0,16;0,07;0;0,076666667;0,080208063;1,038964544;-0,083117163;-0,95584738;1,122081707;0,872730217
PR VS SP;0,06;0,11;0,62;0,263333333;0,309892454;-0,656141608;-0,494795311;1,150936919;0,161346297;1,64573223
VA VM VM;0,18;0,04;0;0,073333333;0,094516313;1,128552985;-0,352672808;-0,775880177;1,481225793;0,42320737
CC CS NP;0,08;0,14;0,21;0,143333333;0,065064071;-0,973399487;-0,051231552;1,024631039;0,922167935;1,075862591
PR VS RG;0,16;0,07;0;0,076666667;0,080208063;1,038964544;-0,083117163;-0,95584738;1,122081707;0,872730217
SP NC VS;0,11;0,07;0,41;0,196666667;0,185831465;-0,466372402;-0,681621203;1,147993605;0,215248801;1,829614809
AQ PP CS;0,06;0,21;0;0,09;0,108166538;-0,277350098;1,109400392;-0,832050294;1,386750491;1,941450687
CC VS DP;0,13;0,11;0;0,08;0,07;0,714285714;0,428571429;-1,142857143;0,285714286;1,571428571
P0 VA VM;0,11;0,14;0;0,083333333;0,073711148;0,361772505;0,768766574;-1,130539079;0,406994068;1,899305653
VA VM DA;0,13;0,07;0,21;0,136666667;0,070237692;-0,0949158;-0,949157996;1,044073795;0,854242196;1,993231791
DD AQ NP;0;0,24;0,21;0,15;0,130766968;-1,147078669;0,688247202;0,458831468;1,835325871;0,229415734
PP RG SP;0,13;0,11;0;0,08;0,07;0,714285714;0,428571429;-1,142857143;0,285714286;1,571428571
NC P0 PP;0,13;0,04;0,41;0,193333333;0,192959409;-0,328221017;-0,794640357;1,122861375;0,46641934;1,917501732
VM PP VS;0,18;0;0,21;0,13;0,113578167;0,440225453;-1,144586178;0,704360725;1,584811631;1,848946903
NP AQ RG;0,11;0,11;0,21;0,143333333;0,057735027;-0,577350269;-0,577350269;1,154700538;0;1,732050808
AQ NP NP;0,13;0,11;0;0,08;0,07;0,714285714;0,428571429;-1,142857143;0,285714286;1,571428571
AQ NP PP;0,16;0,07;0;0,076666667;0,080208063;1,038964544;-0,083117163;-0,95584738;1,122081707;0,872730217
CS VS VM;0,18;0,04;0;0,073333333;0,094516313;1,128552985;-0,352672808;-0,775880177;1,481225793;0,42320737
DP NC PT;0,11;0,14;0;0,083333333;0,073711148;0,361772505;0,768766574;-1,130539079;0,406994068;1,899305653
NC VS NC;0,18;0,04;0;0,073333333;0,094516313;1,128552985;-0,352672808;-0,775880177;1,481225793;0,42320737
AP CC VM;0,08;0,17;0;0,083333333;0,085049005;-0,03919309;1,019020342;-0,979827252;1,058213432;1,998847594
AQ NP VS;0,11;0,14;0;0,083333333;0,073711148;0,361772505;0,768766574;-1,130539079;0,406994068;1,899305653
PT VM DP;0,11;0,11;0,21;0,143333333;0,057735027;-0,577350269;-0,577350269;1,154700538;0;1,732050808
VS SP RG;0,06;0,14;0,41;0,203333333;0,183393929;-0,781559858;-0,345340402;1,12690026;0,436219455;1,472240662
VM CC CC;0,13;0,11;0;0,08;0,07;0,714285714;0,428571429;-1,142857143;0,285714286;1,571428571
PT VM CS;0,18;0,04;0;0,073333333;0,094516313;1,128552985;-0,352672808;-0,775880177;1,481225793;0,42320737
PT VM AQ;0,11;0,14;0;0,083333333;0,073711148;0,361772505;0,768766574;-1,130539079;0,406994068;1,899305653
SP NP CS;0,08;0,07;0,62;0,256666667;0,31469562;-0,561389023;-0,59316576;1,154554783;0,031776737;1,747720543
SP NP RG;0,16;0;0,41;0,19;0,206639783;-0,145180176;-0,919474445;1,064654621;0,77429427;1,984129066
CC PI SP;0,13;0,07;0,21;0,136666667;0,070237692;-0,0949158;-0,949157996;1,044073795;0,854242196;1,993231791
AQ RG DP;0,13;0,11;0;0,08;0,07;0,714285714;0,428571429;-1,142857143;0,285714286;1,571428571
CC NP PR;0,11;0,14;0;0,083333333;0,073711148;0,361772505;0,768766574;-1,130539079;0,406994068;1,899305653
AQ RG CC;0,13;0,11;0;0,08;0,07;0,714285714;0,428571429;-1,142857143;0,285714286;1,571428571
SP AQ DA;0,13;0,04;0,41;0,193333333;0,192959409;-0,328221017;-0,794640357;1,122861375;0,46641934;1,917501732
VM CC I;0,16;0,07;0;0,076666667;0,080208063;1,038964544;-0,083117163;-0,95584738;1,122081707;0,872730217
